;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1181;62.900;Ford;Ecosport;4wd Fsl 2.0;111.400;2015;SC;São José;Vazio
1182;59.900;Volkswagen;Crossfox;Sa;62.000;2016;SC;São José;Vazio
1183;58.900;Hyundai;Hb20;1.6 Comf. At;59.700;2016;SC;São José;Vazio
1184;79.900;Kia;Soul;Soul 1.6/ 1.6 16v Flex Aut.;79.070;2015;SC;São José;Vazio
1185;82.900;Honda;Civic;Lxr;101.375;2016;SC;Blumenau;Vazio
1186;79.800;Fiat;Argo;Trekking 1.3;22.700;2021;SC;Itajaí;Vazio
1187;74.900;Volkswagen;Up!;Cross;76.850;2018;SC;São Bento do Sul;Vazio
1188;73.900;Chevrolet;Onix;Active 1.4;55.000;2019;SC;Palhoça;Vazio
1189;79.900;Mitsubishi;Outlander;2.0;108.000;2015;SC;São José;Vazio
1190;59.899;Renault;Kwid;Zen 1.0;24.500;2022;SC;São José;Vazio
1191;79.900;Ford;Focus;Sedan 2.0 Se Fastback;36.000;2019;SC;São José;Vazio
1192;66.899;Lifan;X60;Vip 2.0;54.000;2019;SC;São José;Vazio
1193;64.899;Lifan;X60;1.8 Talent;58.500;2019;SC;São José;Vazio
1194;55.800;Ford;Ka;1.0 Se;52.100;2020;SC;Joinville;Vazio
1195;70.900;Hyundai;Hb20;1.6 At Comf;28.000;2019;SC;São José;Vazio
1196;68.900;Peugeot;Partner;1.6 Furgão;119.000;2019;SC;São José;Vazio
1197;74.900;Hyundai;Hb20;1.6a Comf;41.191;2019;SC;Palhoça;Vazio
1198;79.900;Fiat;Doblo;Essence 7l E;60.100;2020;SC;Palhoça;Vazio
1199;87.990;Jeep;Renegade;Sport At;48.000;2017;SC;Xanxerê;Vazio
1200;75.490;Peugeot;Partner;Furgao;54.100;2020;SC;Jaraguá do Sul;Vazio
1201;63.900;Lifan;X60;1.8 Vip Cvt;130.000;2018;SC;São José;Vazio
1202;69.800;Kia;Cerato;Ff Sx3 Atnb;108.000;2016;SC;Itajaí;Vazio
1203;75.900;Fiat;Strada;Cabine Dupla, 3 Portas;71.814;2017;SC;Blumenau;Vazio
1204;67.899;Fiat;Argo;1.0;19.000;2021;SC;São José;Vazio
1205;87.800;Volkswagen;Virtus;1.0 Tsi Comfortline;90.000;2020;SC;Florianópolis;Vazio
1206;89.800;Chevrolet;Onix;1.0 Turbo Premier Automático;11.900;2020;SC;Joinville;Vazio
1207;58.800;Toyota;Etios;X 1.3 Flex 16v 5p Mec.;42.643;2018;SC;Indaial;Vazio
1208;62.990;Citroën;C3;Tendance Bva;44.000;2017;SC;Xanxerê;Vazio
1209;69.900;Fiat;Argo;Drive 1.0;15.193;2021;SC;Pomerode;Vazio
1210;82.900;Volkswagen;Polo;Comfortline 200 Tsi;62.001;2019;SC;Palhoça;Vazio
1211;72.900;Suzuki;Jimny;1.3 4all;94.000;2015;SC;São José;Vazio
1212;64.900;Volkswagen;Fox;Mb;31.171;2019;SC;São Bento do Sul;Vazio
1213;74.800;Volkswagen;Polo;1.0 Mpi;20.000;2020;SC;Joinville;Vazio
