;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1385;73.999;Honda;Civic;2.0 Lxr Flex Aut. 4p;133.000;2015;SP;Parque Novo Mundo - São Paulo Zona Norte;Vazio
1386;89.990;Ford;Fusion;Ford Fusion Titanium 2.0 Awd 2016 Gasolina C/teto;120.000;2016;SP;Jardim Campos Elíseos - Campinas;Vazio
1387;65.990;Ford;Focus;2.0 Se 16v Flex 4p Powershift;52.429;2018;SP;Itaim Paulista - São Paulo Zona Leste;Vazio
1388;59.990;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd Flex 4p Automático;81.762;2016;SP;Itaim Paulista - São Paulo Zona Leste;Vazio
1389;74.900;Fiat;Argo;1.8 Precision 16v Flex Aut. 5p;37.000;2020;SP;Moóca - São Paulo Zona Leste;Vazio
1390;62.990;Peugeot;2008;Peugeot 2008 Allure At;35.690;2017;SP;Jardim Maria Augusta - Taubaté;Vazio
1391;71.900;Volkswagen;Saveiro;1.6 Msi Robust Cs 8v Flex 2p Manual;39.193;2019;SP;Vila Guilherme - São Paulo Zona Norte;Grupo Amazonas
1392;75.990;Fiat;Argo;Hgt 1.8 At;50.631;2018;SP;Jardim Maria Augusta - Taubaté;Vazio
1393;74.900;Chevrolet;Spin;1.8 Ltz 8v Flex 4p Automático;53.038;2018;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
1394;80.990;Jeep;Renegade;1.8 Flex Aut. 5p;62.500;2018;SP;Casa Verde - São Paulo Zona Norte;Vazio
1395;79.889;Chevrolet;Cruze;1.4 Lt Turbo Aut. 4p;52.000;2018;SP;São Paulo Zona Leste;Vazio
1396;89.900;Volkswagen;Golf;Variant 1.4 Tsi Highline 5p;86.607;2015;SP;Jardim Avelino - São Paulo Zona Leste;Vazio
1397;77.000;Fiat;Doblo;1.8 Mpi Essence 7l 16v Flex 4p Manual;82.000;2019;SP;Jardim Nova Itaquá - Itaquaquecetuba;Vazio
1398;70.900;Chery;Tiggo;2 1.5 Mpfi 16v Flex Look 4p Manual;32.520;2019;SP;Jardim Nova Itaquá - Itaquaquecetuba;Vazio
1399;64.990;Ford;Ecosport;1.6 Freestyle 16v Flex 4p Powershift;60.894;2016;SP;Itaim Paulista - São Paulo Zona Leste;Vazio
1400;76.900;Ford;Ecosport;1.5 Freestyle Flex 5p;63.000;2018;SP;Jardim - Santo André;Vazio
1401;85.000;Chevrolet;Cruze;Sport 1.4 Ltz Turbo Aut. 5p;120.000;2018;SP;Vila das Bandeiras - Guarulhos;Vazio
1402;56.900;Fiat;Strada;1.4 Hard Working Flex 2p;64.000;2018;SP;Vila Divina Pastora - São Paulo Zona Leste;Vazio
1403;85.900;Toyota;Yaris;1.3 Xl 16v Cvt 5p;24.000;2019;SP;Vila Yara - Osasco;Vazio
1404;66.900;Volkswagen;Gol;1.0 12v Total Flex 5p 5 Marchas;3.000;2022;SP;Vila Yara - Osasco;Vazio
1405;66.900;Hyundai;Hb20;1.6 Comfort Plus Flex 5p;46.000;2019;SP;Vila Yara - Osasco;Vazio
1406;63.900;Renault;Sandero;1.0 Zen 12v 5p;8.000;2021;SP;Vila Yara - Osasco;Vazio
1407;89.790;Renault;Captur;Zen 16a;37.500;2019;SP;Vila Graciosa - São Paulo Zona Leste;Vazio
1408;74.490;Fiat;Argo;1.0 Firefly;1.666;2022;SP;Jurubatuba - São Paulo Zona Sul;Vazio
1409;89.900;Honda;Hr-v;1.8 Ex Flex Aut. 5p;72.000;2016;SP;Parque Pirajussara - Embu das Artes;Vazio
1410;77.900;Renault;Duster;Oroch 1.6 16v Express Sce 4p;39.000;2020;SP;Moóca - São Paulo Zona Leste;Vazio
1411;81.900;Renault;Duster;1.6 16v Expression Sce 5p;29.000;2020;SP;Moóca - São Paulo Zona Leste;Vazio
1412;69.997;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;97.778;2019;SP;Chácara Califórnia - São Paulo Zona Leste;Vazio
1413;64.900;Hyundai;Hb20s;1.6 Premium 16v Flex 4p Automático;65.000;2016;SP;Picanço - Guarulhos;Vazio
1414;79.900;Hyundai;Hb20x;1.6 16v Premium Flex 4p Automático;46.186;2019;SP;Vila Graciosa - São Paulo Zona Leste;Vazio
1415;67.900;Hyundai;Hb20s;Confort Plus 1.0;71.000;2019;SP;Taboão da Serra;Vazio
1416;69.990;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Automático;57.000;2019;SP;Mauá - São Caetano do Sul;Vazio
1417;79.899;Renault;Captur;1.6 16v Life Sce X-tronic 5p;55.000;2018;SP;Alto da Mooca - São Paulo Zona Leste;Vazio
1418;86.900;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;22.000;2019;SP;Vila Graciosa - São Paulo Zona Leste;Vazio
1419;89.590;Renault;Captur;1.616v Intense Sce X-tronic 5p;56.000;2019;SP;Vila Isolina Mazzei - São Paulo Zona Norte;Vazio
1420;69.900;Chevrolet;Onix;1.4 Mpfi Ltz 8v Flex 4p Automático;49.200;2018;SP;Mauá - São Caetano do Sul;Vazio
1421;62.900;Chevrolet;Cobalt;1.8 Mpfi Ltz 8v Flex 4p Manual;83.555;2018;SP;Jacareí;Vazio
