;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
622;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;56.532;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
623;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;47.443;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
624;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;57.864;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
625;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;53.223;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
626;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;56.765;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
627;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;45.743;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
628;57.560;Volkswagen;Gol;1.6 Msi Totalflex 4p Manual;33.639;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
629;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;46.237;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
630;56.590;Chevrolet;Onix;1.0 Mpfi Joy 8v Flex 4p Manual;45.685;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
631;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;46.733;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
632;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;46.753;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
633;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;45.674;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
634;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;46.563;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
635;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;46.735;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
636;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;45.361;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
637;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;46.378;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
638;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;47.432;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
639;56.590;Chevrolet;Onix;1.0 Mpfi Joy 8v Flex 4p Manual;49.065;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
640;56.590;Chevrolet;Onix;1.0 Mpfi Joy 8v Flex 4p Manual;46.722;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
641;56.590;Chevrolet;Onix;1.0 Mpfi Joy 8v Flex 4p Manual;48.905;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
642;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;47.457;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
643;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;45.263;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
644;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;46.542;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
645;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;44.395;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
646;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;45.653;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
647;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;46.753;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
648;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;45.232;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
649;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;45.678;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
650;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;46.584;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
651;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;45.675;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
652;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;44.568;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
653;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;49.821;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
654;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;49.876;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
655;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;45.677;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
656;80.810;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;52.016;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
657;88.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;50.617;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
658;78.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;54.945;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
659;69.490;Chevrolet;Onix;1.0 Flex Lt Manual;56.877;2020;MG;São Benedito - Uberaba;Localiza Seminovos
660;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;46.787;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
661;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;45.362;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
662;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;45.633;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
663;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;48.373;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
664;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;49.383;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
665;63.990;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;50.567;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
666;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;45.789;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
667;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;46.843;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
668;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;46.757;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
669;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;45.673;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
670;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;45.647;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
671;83.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;48.900;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
672;83.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;45.677;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
673;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;46.373;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
674;69.990;Toyota;Etios;1.5 X Plus Sedan 16v Flex 4p Automático;45.675;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
675;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;46.789;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
676;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;50.160;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
677;84.490;Renault;Duster;1.6 16v Sce Flex Gopro X-tronic;50.721;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
678;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;50.964;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
679;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;50.128;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
680;82.990;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;52.563;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
681;59.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;45.373;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
682;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;46.783;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
683;65.790;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;45.372;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
684;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;48.326;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
685;59.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;46.783;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
686;56.590;Chevrolet;Onix;1.0 Mpfi Joy 8v Flex 4p Manual;46.748;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
687;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;47.837;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
688;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;45.214;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
689;59.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;46.565;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
690;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;47.888;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
691;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;48.934;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
692;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;49.067;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
693;87.390;Renault;Captur;2.0 16v Hi-flex Intense Automático;46.778;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
694;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;48.217;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
695;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;45.283;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
696;87.390;Renault;Captur;2.0 16v Hi-flex Intense Automático;32.207;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
697;58.990;Ford;Ka;1.5 Ti-vct Flex Se Manual;50.209;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
698;69.990;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;50.534;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
699;67.690;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;51.676;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
700;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;63.509;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
701;69.490;Chevrolet;Onix;1.0 Flex Lt Manual;52.000;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
702;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;51.810;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
703;61.980;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;52.623;2021;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
704;58.390;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;51.301;2020;MG;Santa Mônica - Uberlândia;Localiza Seminovos
